HDR,ROLLING SYSTEM DEMAND
VD,20200303172500,42188
VD,20200303173000,42363
VD,20200303173500,42519
VD,20200303174000,42614
VD,20200303174500,42775
VD,20200303175000,42972
VD,20200303175500,43224
VD,20200303180000,43549
VD,20200303180500,44291
VD,20200303181000,44646
VD,20200303181500,44698
VD,20200303182000,44712
VD,20200303182500,44829
VD,20200303183000,44522
VD,20200303183500,44515
VD,20200303184000,44539
VD,20200303184500,44290
VD,20200303185000,44375
VD,20200303185500,44343
VD,20200303190000,44400
VD,20200303190500,44315
VD,20200303191000,44414
VD,20200303191500,44428
VD,20200303192000,44279
VD,20200303192500,44140
VD,20200303193000,43945
VD,20200303193500,43869
VD,20200303194000,43760
VD,20200303194500,43592
VD,20200303195000,43360
VD,20200303195500,43109
VD,20200303200000,43147
VD,20200303200500,43254
VD,20200303201000,43076
VD,20200303201500,42901
VD,20200303202000,42579
VD,20200303202500,42217
VD,20200303203000,41860
VD,20200303203500,41610
VD,20200303204000,41761
VD,20200303204500,41490
VD,20200303205000,41021
VD,20200303205500,40697
VD,20200303210000,40348
VD,20200303210500,39878
VD,20200303211000,39302
VD,20200303211500,38961
VD,20200303212000,38621
VD,20200303212500,38283
VD,20200303213000,37900
VD,20200303213500,37484
VD,20200303214000,37245
VD,20200303214500,36953
VD,20200303215000,36562
VD,20200303215500,36128
VD,20200303220000,35691
VD,20200303220500,35384
VD,20200303221000,35034
VD,20200303221500,34534
VD,20200303222000,34124
VD,20200303222500,33732
VD,20200303223000,33523
VD,20200303223500,33357
VD,20200303224000,33132
VD,20200303224500,32824
VD,20200303225000,32519
VD,20200303225500,32185
VD,20200303230000,31979
VD,20200303230500,31909
VD,20200303231000,31548
VD,20200303231500,31256
VD,20200303232000,30984
VD,20200303232500,30752
VD,20200303233000,30733
VD,20200303233500,30789
VD,20200303234000,30812
VD,20200303234500,30793
VD,20200303235000,30753
VD,20200303235500,30705
VD,20200304000000,30712
VD,20200304000500,30877
VD,20200304001000,30866
VD,20200304001500,30822
VD,20200304002000,30755
VD,20200304002500,30800
VD,20200304003000,30807
VD,20200304003500,30774
VD,20200304004000,30689
VD,20200304004500,30592
VD,20200304005000,30321
VD,20200304005500,30225
VD,20200304010000,30343
VD,20200304010500,30624
VD,20200304011000,30707
VD,20200304011500,30794
VD,20200304012000,30992
VD,20200304012500,31117
VD,20200304013000,31036
VD,20200304013500,30826
VD,20200304014000,30621
VD,20200304014500,30556
VD,20200304015000,30487
VD,20200304015500,30409
VD,20200304020000,30337
VD,20200304020500,30321
VD,20200304021000,30278
VD,20200304021500,30240
VD,20200304022000,30194
VD,20200304022500,30182
VD,20200304023000,30064
VD,20200304023500,30023
VD,20200304024000,30041
VD,20200304024500,29956
VD,20200304025000,29761
VD,20200304025500,29639
VD,20200304030000,29565
VD,20200304030500,29546
VD,20200304031000,29520
VD,20200304031500,29480
VD,20200304032000,29388
VD,20200304032500,29283
VD,20200304033000,29169
VD,20200304033500,29124
VD,20200304034000,29101
VD,20200304034500,29094
VD,20200304035000,29118
VD,20200304035500,29059
VD,20200304040000,28960
VD,20200304040500,28946
VD,20200304041000,28882
VD,20200304041500,28845
VD,20200304042000,28789
VD,20200304042500,28783
VD,20200304043000,28812
VD,20200304043500,28958
VD,20200304044000,28984
VD,20200304044500,28894
VD,20200304045000,28845
VD,20200304045500,28988
VD,20200304050000,29074
VD,20200304050500,28539
VD,20200304051000,28562
VD,20200304051500,28696
VD,20200304052000,28357
VD,20200304052500,28466
VD,20200304053000,28584
VD,20200304053500,28798
VD,20200304054000,29038
VD,20200304054500,29270
VD,20200304055000,29696
VD,20200304055500,30106
VD,20200304060000,30497
VD,20200304060500,31263
VD,20200304061000,32182
VD,20200304061500,32814
VD,20200304062000,33322
VD,20200304062500,33683
VD,20200304063000,34131
VD,20200304063500,34596
VD,20200304064000,35106
VD,20200304064500,35555
VD,20200304065000,36008
VD,20200304065500,36551
VD,20200304070000,37100
VD,20200304070500,37834
VD,20200304071000,38246
VD,20200304071500,38717
VD,20200304072000,39020
VD,20200304072500,39342
VD,20200304073000,39511
VD,20200304073500,39569
VD,20200304074000,39709
VD,20200304074500,40046
VD,20200304075000,40025
VD,20200304075500,40101
VD,20200304080000,40211
VD,20200304080500,40480
VD,20200304081000,40338
VD,20200304081500,40369
VD,20200304082000,40467
VD,20200304082500,40573
VD,20200304083000,40521
VD,20200304083500,40493
VD,20200304084000,40363
VD,20200304084500,40243
VD,20200304085000,40245
VD,20200304085500,40197
VD,20200304090000,40186
VD,20200304090500,40333
VD,20200304091000,40317
VD,20200304091500,40365
VD,20200304092000,40474
VD,20200304092500,40485
VD,20200304093000,40510
VD,20200304093500,40492
VD,20200304094000,40566
VD,20200304094500,40537
VD,20200304095000,40491
VD,20200304095500,40471
VD,20200304100000,40608
VD,20200304100500,40557
VD,20200304101000,40373
VD,20200304101500,40282
VD,20200304102000,40198
VD,20200304102500,40128
VD,20200304103000,40072
VD,20200304103500,40107
VD,20200304104000,40091
VD,20200304104500,40000
VD,20200304105000,39872
VD,20200304105500,39726
VD,20200304110000,39681
VD,20200304110500,39712
VD,20200304111000,39744
VD,20200304111500,39754
VD,20200304112000,39955
VD,20200304112500,40031
VD,20200304113000,40064
VD,20200304113500,40141
VD,20200304114000,40123
VD,20200304114500,39996
VD,20200304115000,39942
VD,20200304115500,39969
VD,20200304120000,40003
VD,20200304120500,40094
VD,20200304121000,40035
VD,20200304121500,40078
VD,20200304122000,40163
VD,20200304122500,40288
VD,20200304123000,40479
VD,20200304123500,40577
VD,20200304124000,40452
VD,20200304124500,40504
VD,20200304125000,40545
VD,20200304125500,40628
VD,20200304130000,40727
VD,20200304130500,40783
VD,20200304131000,40809
VD,20200304131500,40671
VD,20200304132000,40719
VD,20200304132500,40643
VD,20200304133000,40609
VD,20200304133500,40539
VD,20200304134000,40519
VD,20200304134500,40511
VD,20200304135000,40416
VD,20200304135500,40398
VD,20200304140000,40343
VD,20200304140500,40476
VD,20200304141000,40554
VD,20200304141500,40566
VD,20200304142000,40580
VD,20200304142500,40590
VD,20200304143000,40557
VD,20200304143500,40536
VD,20200304144000,40617
VD,20200304144500,40767
VD,20200304145000,40693
VD,20200304145500,40815
VD,20200304150000,40883
VD,20200304150500,40861
VD,20200304151000,40957
VD,20200304151500,41023
VD,20200304152000,41028
VD,20200304152500,41147
VD,20200304153000,41276
VD,20200304153500,41414
VD,20200304154000,41587
VD,20200304154500,41809
VD,20200304155000,42040
VD,20200304155500,42364
VD,20200304160000,42441
VD,20200304160500,42424
VD,20200304161000,42470
VD,20200304161500,42440
VD,20200304162000,42511
VD,20200304162500,42670
VD,20200304163000,42692
VD,20200304163500,42762
VD,20200304164000,42996
VD,20200304164500,43149
VD,20200304165000,43535
VD,20200304165500,43619
VD,20200304170000,43754
VD,20200304170500,44098
VD,20200304171000,44152
VD,20200304171500,44211
VD,20200304172000,44227
VD,20200304172500,44351
VD,20200304173000,44487
VD,20200304173500,44536
VD,20200304174000,44471
VD,20200304174500,44467
VD,20200304175000,44626
VD,20200304175500,44747
VD,20200304180000,45063
VD,20200304180500,45459
VD,20200304181000,45592
VD,20200304181500,45679
VD,20200304182000,45779
VD,20200304182500,45729
VD,20200304183000,45721
VD,20200304183500,45779
VD,20200304184000,45693
VD,20200304184500,45585
VD,20200304185000,45488
VD,20200304185500,45426
VD,20200304190000,45324
VD,20200304190500,45173
VD,20200304191000,44915
VD,20200304191500,44712
VD,20200304192000,44570
VD,20200304192500,44364
VD,20200304193000,44267
VD,20200304193500,44230
VD,20200304194000,44285
VD,20200304194500,44115
VD,20200304195000,44126
VD,20200304195500,43980
VD,20200304200000,43858
VD,20200304200500,43892
VD,20200304201000,43827
VD,20200304201500,43676
VD,20200304202000,43441
VD,20200304202500,43022
VD,20200304203000,42629
VD,20200304203500,42199
VD,20200304204000,42000
VD,20200304204500,41655
VD,20200304205000,41227
VD,20200304205500,40888
VD,20200304210000,40613
VD,20200304210500,40288
VD,20200304211000,39908
VD,20200304211500,39611
VD,20200304212000,39228
VD,20200304212500,38921
VD,20200304213000,38660
VD,20200304213500,38264
VD,20200304214000,37818
VD,20200304214500,37377
VD,20200304215000,37200
VD,20200304215500,36894
VD,20200304220000,36412
VD,20200304220500,36309
VD,20200304221000,35715
VD,20200304221500,35351
VD,20200304222000,34953
VD,20200304222500,34548
VD,20200304223000,34162
